"","X","country","efrac","bti_ci","bti_cr","cpds_vt","ti_cpi","ccp_democ","br_dem","bti_ffe","bti_gp","bti_ij","bti_mes","bti_pdi","bti_sdi","ti_cpi_max","al_ethnic2000","al_religion2000"
"26",26,"Cameroon",0.86,8,3,NA,25,1,0,3,3.900000095,3,4.607142925,2,2,28.97616005,0.863489985,0.733753383
"27",27,"Canada",0.71,1,NA,67,77,1,1,NA,NA,NA,NA,NA,NA,81.58673859,0.712419987,0.69576782
"28",28,"Chad",0.86,6,2,NA,20,1,0,3,2.650000095,1,3.357142925,2,1.5,24.02018929,0.862016022,0.64107883
"29",29,"Chile",0.19,3,9,NA,67,1,1,10,8.899999619,9,8.428571701,10,10,71.1862793,0.186146006,0.384105712
"30",30,"China",0.15,5,2,NA,41,1,0,1,5.25,2,6.75,1,1,44.44551086,0.15379034,0.664296329
"31",31,"Colombia",0.6,6,6,NA,37,1,1,7,6.416666508,6,6.642857075,7,7.5,41.09006882,0.601400018,0.147835106
"32",32,"Costa Rica",0.24,1,9,NA,56,1,1,10,8.395833015,10,7.928571224,8,9,62.51247025,0.2368,0.240958199
"33",33,"Cote d'Ivoire",0.82,5,5,NA,35,NA,0,6,5.900000095,3,5.178571224,6,6,39.08140945,0.82042402,0.755107701
"34",34,"Croatia",0.37,2,8,52.59999847,47,1,1,9,7.283333302,7,7.678571224,8,8.5,50.9654007,0.369026005,0.444733113
"35",35,"Cuba",0.59,2,4,NA,48,1,0,1,4.516666889,2,4,1,1,51.06631851,0.590799987,0.505935788
"36",36,"Cyprus",0.09,NA,NA,66.69999695,58,2,1,NA,NA,NA,NA,NA,NA,63.59806824,0.093854003,0.396160096
"37",37,"Denmark",0.08,1,NA,84.59999847,87,2,1,NA,NA,NA,NA,NA,NA,91.16964722,0.081859998,0.233303905
"38",38,"Djibouti",0.8,3,3,NA,30,1,0,4,5.458333492,3,4.535714149,3,2.5,37.01362991,0.796166003,0.0434568
"39",39,"Dominica",0.2,1,NA,NA,55,1,1,NA,NA,NA,NA,NA,NA,58.55030823,0.200261995,0.462809891
"40",40,"Ecuador",0.65,3,7,NA,38,1,1,8,5.958333492,6,5.75,7,7,41.59572983,0.654999971,0.141712502
"41",41,"Egypt",0.18,7,2,NA,35,1,0,2,4.233333111,4,4.892857075,2,2,42.97602844,0.183592007,0.19788
"42",42,"El Salvador",0.2,4,5,NA,34,1,1,9,7.316666603,6,6.392857075,7,8,38.20439148,0.197799996,0.35588339
"43",43,"Eritrea",0.65,5,1,NA,23,1,0,1,1.25,1,1.285714269,1,1,33.91812897,0.652400017,0.425319105
"44",44,"Estonia",0.51,3,10,63.70000076,74,1,1,10,9.149999619,10,9.285714149,10,10,75.98419189,0.506169975,0.498456806
"45",45,"Ethiopia",NA,6,2,NA,37,1,0,4,5.233333111,4,3.642857075,3,3,39.48625946,0.723471999,0.624867976
"46",46,"Fiji",0.55,NA,NA,NA,55,1,0,NA,NA,NA,NA,NA,NA,63.48577118,0.547941983,0.568199396
"47",47,"Finland",0.13,1,NA,72.09999847,86,1,1,NA,NA,NA,NA,NA,NA,90.79620361,0.131497309,0.253104389
"48",48,"France",0.1,1,NA,48.70000076,69,1,1,NA,NA,NA,NA,NA,NA,72.73967743,0.103216842,0.402858108
"49",49,"Gabon",0.77,2,5,NA,31,1,0,4,5.583333492,3,5.071428776,3,2.5,34.94847107,0.768959999,0.667440772
"50",50,"Georgia",0.49,5,7,NA,56,1,1,8,6.599999905,6,6.178571224,6,7,62.29037094,0.492273986,0.65429908
"51",51,"Germany",0.17,1,NA,76.19999695,80,1,1,NA,NA,NA,NA,NA,NA,85.42800903,0.168201998,0.657119572
"52",52,"Ghana",0.67,4,7,NA,41,1,1,8,7.020833492,8,5.571428776,9,8.5,45.52117157,0.673331976,0.798675179
"53",53,"Greece",0.16,1,NA,57.79999924,48,1,1,NA,NA,NA,NA,NA,NA,52.21189117,0.157630101,0.153030604
"54",54,"Grenada",0.27,NA,NA,NA,53,1,1,NA,NA,NA,NA,NA,NA,60.17303085,0.266133994,0.589773178
"55",55,"Guatemala",0.51,6,4,NA,26,1,1,6,3.900000095,3,4.892857075,3,3,29.65999985,0.512199998,0.37532419
"56",56,"Guinea",0.74,6,5,NA,29,1,1,6,6.366666794,5,4.714285851,5,5,33.09909058,0.738942027,0.264852285
"57",57,"Guinea-Bissau",0.81,4,5,NA,18,1,1,7,4.933333397,5,4.392857075,5,5.5,22.77095032,0.808214009,0.612823725
"58",58,"Guyana",0.62,NA,NA,NA,40,1,1,NA,NA,NA,NA,NA,NA,45.47314835,0.619498014,0.787591815
"59",59,"Haiti",0.09,6,3,NA,18,1,0,6,3.516666651,3,2.964285612,3,3,23.30534935,0.094999999,0.470365614
"60",60,"Honduras",0.19,6,4,NA,26,1,0,5,4.716666698,3,5.214285851,3,3,31.33683014,0.186700001,0.235716507
"61",61,"Hungary",0.15,4,7,69.69999695,44,1,1,6,4.966666698,6,7.178571224,6,5.5,48.22655869,0.152199998,0.524375021
"62",62,"Iceland",0.08,1,NA,81.19999695,78,1,1,NA,NA,NA,NA,NA,NA,85.58836365,0.079796001,0.191326499
"63",63,"India",0.42,6,6,NA,41,1,1,9,6.550000191,7,6.142857075,8,8,43.63208008,0.418199986,0.326022595
"64",64,"Indonesia",0.74,5,6,NA,40,1,1,8,6.016666889,5,6.107142925,7,6.5,46.16096115,0.735134006,0.234026596
"65",65,"Iraq",0.37,9,3,NA,20,1,0,6,5.316666603,4,4.107142925,3,3,24.88722038,0.368910015,0.484367788
"66",66,"Ireland",0.12,1,NA,65.09999847,74,1,1,NA,NA,NA,NA,NA,NA,79.92201233,0.120635003,0.154978901
"67",67,"Israel",0.34,NA,NA,NA,60,NA,1,NA,NA,NA,NA,NA,NA,63.26213074,0.343593717,0.346854299
"68",68,"Italy",0.11,1,NA,72.90000153,53,1,1,NA,NA,NA,NA,NA,NA,58.27365112,0.114519,0.302656591
"69",69,"Jamaica",0.41,4,7,NA,43,1,1,9,6.791666508,9,6.321428776,8,8.5,48.87694931,0.412894011,0.615960598
"70",70,"Japan",0.01,1,NA,53.70000076,73,2,1,NA,NA,NA,NA,NA,NA,78.75718689,0.011928,0.540634513
"71",71,"Jordan",0.59,5,5,NA,48,2,0,5,5.433333397,5,5.964285851,2,2.5,53.39957047,0.592599988,0.065942399
"72",72,"Kazakhstan",0.62,4,4,NA,34,1,0,2,5.216666698,4,6.035714149,2,2,40.84962845,0.617121994,0.589846313
"73",73,"Kenya",0.86,6,5,NA,28,1,0,5,5.25,7,5.464285851,3,3,31.55511093,0.858799994,0.776516974
"74",74,"Kiribati",0.05,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0.051054001,0.554111481
"75",75,"Kuwait",0.66,4,6,NA,40,1,0,4,5.25,5,7.178571224,3,3,43.08226013,0.660399973,0.674471974
